age,job,marital,education,default,balance,housing,loan,campaign,day,month,duration,y
58,management,married,tertiary,no,2143,yes,no,1,5,may,261,no
44,technician,single,secondary,no,29,yes,no,1,5,may,151,no
33,entrepreneur,married,secondary,no,2,yes,yes,1,5,may,76,no
47,blue-collar,married,unknown,no,1506,yes,no,1,5,may,92,no
33,unknown,single,unknown,no,1,no,no,1,5,may,198,no
35,management,married,tertiary,no,231,yes,no,1,5,may,139,no
28,management,single,tertiary,no,447,yes,yes,1,5,may,217,no
42,entrepreneur,divorced,tertiary,yes,2,yes,no,1,5,may,380,no
58,retired,married,primary,no,121,yes,no,1,5,may,50,no
43,technician,single,secondary,no,593,yes,no,1,5,may,55,no
41,admin.,divorced,secondary,no,270,yes,no,1,5,may,222,no
29,admin.,single,secondary,no,390,yes,no,1,5,may,137,no
53,technician,married,secondary,no,6,yes,no,1,5,may,517,no
58,technician,married,unknown,no,71,yes,no,1,5,may,71,no
57,services,married,secondary,no,162,yes,no,1,5,may,174,no
51,retired,married,primary,no,229,yes,no,1,5,may,353,no
45,admin.,single,unknown,no,13,yes,no,1,5,may,98,no
57,blue-collar,married,primary,no,52,yes,no,1,5,may,38,no
60,retired,married,primary,no,60,yes,no,1,5,may,219,no
33,services,married,secondary,no,0,yes,no,1,5,may,54,no
28,blue-collar,married,secondary,no,723,yes,yes,1,5,may,262,no
56,management,married,tertiary,no,779,yes,no,1,5,may,164,no
32,blue-collar,single,primary,no,23,yes,yes,1,5,may,160,no
25,services,married,secondary,no,50,yes,no,1,5,may,342,no
40,retired,married,primary,no,0,yes,yes,1,5,may,181,no
44,admin.,married,secondary,no,-372,yes,no,1,5,may,172,no
39,management,single,tertiary,no,255,yes,no,1,5,may,296,no
52,entrepreneur,married,secondary,no,113,yes,yes,1,5,may,127,no
46,management,single,secondary,no,-246,yes,no,2,5,may,255,no
36,technician,single,secondary,no,265,yes,yes,1,5,may,348,no
57,technician,married,secondary,no,839,no,yes,1,5,may,225,no
49,management,married,tertiary,no,378,yes,no,1,5,may,230,no
60,admin.,married,secondary,no,39,yes,yes,1,5,may,208,no
59,blue-collar,married,secondary,no,0,yes,no,1,5,may,226,no
51,management,married,tertiary,no,10635,yes,no,1,5,may,336,no
57,technician,divorced,secondary,no,63,yes,no,1,5,may,242,no
25,blue-collar,married,secondary,no,-7,yes,no,1,5,may,365,no
53,technician,married,secondary,no,-3,no,no,1,5,may,1666,no
36,admin.,divorced,secondary,no,506,yes,no,1,5,may,577,no
37,admin.,single,secondary,no,0,yes,no,1,5,may,137,no
44,services,divorced,secondary,no,2586,yes,no,1,5,may,160,no
50,management,married,secondary,no,49,yes,no,2,5,may,180,no
60,blue-collar,married,unknown,no,104,yes,no,1,5,may,22,no
54,retired,married,secondary,no,529,yes,no,1,5,may,1492,no
58,retired,married,unknown,no,96,yes,no,1,5,may,616,no
36,admin.,single,primary,no,-171,yes,no,1,5,may,242,no
58,self-employed,married,tertiary,no,-364,yes,no,1,5,may,355,no
44,technician,married,secondary,no,0,yes,no,2,5,may,225,no
55,technician,divorced,secondary,no,0,no,no,1,5,may,160,no
29,management,single,tertiary,no,0,yes,no,1,5,may,363,no
54,blue-collar,married,secondary,no,1291,yes,no,1,5,may,266,no
48,management,divorced,tertiary,no,-244,yes,no,1,5,may,253,no
32,management,married,tertiary,no,0,yes,no,1,5,may,179,no
42,admin.,single,secondary,no,-76,yes,no,1,5,may,787,no
24,technician,single,secondary,no,-103,yes,yes,1,5,may,145,no
38,entrepreneur,single,tertiary,no,243,no,yes,1,5,may,174,no
38,management,single,tertiary,no,424,yes,no,1,5,may,104,no
47,blue-collar,married,unknown,no,306,yes,no,1,5,may,13,no
40,blue-collar,single,unknown,no,24,yes,no,1,5,may,185,no
46,services,married,primary,no,179,yes,no,1,5,may,1778,no
32,admin.,married,tertiary,no,0,yes,no,1,5,may,138,no
53,technician,divorced,secondary,no,989,yes,no,1,5,may,812,no
57,blue-collar,married,primary,no,249,yes,no,1,5,may,164,no
33,services,married,secondary,no,790,yes,no,1,5,may,391,no
49,blue-collar,married,unknown,no,154,yes,no,1,5,may,357,no
51,management,married,tertiary,no,6530,yes,no,1,5,may,91,no
60,retired,married,tertiary,no,100,no,no,1,5,may,528,no
59,management,divorced,tertiary,no,59,yes,no,1,5,may,273,no
55,technician,married,secondary,no,1205,yes,no,2,5,may,158,no
35,blue-collar,single,secondary,no,12223,yes,yes,1,5,may,177,no
57,blue-collar,married,secondary,no,5935,yes,yes,1,5,may,258,no
31,services,married,secondary,no,25,yes,yes,1,5,may,172,no
54,management,married,secondary,no,282,yes,yes,1,5,may,154,no
55,blue-collar,married,primary,no,23,yes,no,1,5,may,291,no
43,technician,married,secondary,no,1937,yes,no,1,5,may,181,no
53,technician,married,secondary,no,384,yes,no,1,5,may,176,no
44,blue-collar,married,secondary,no,582,no,yes,1,5,may,211,no
55,services,divorced,secondary,no,91,no,no,1,5,may,349,no
49,services,divorced,secondary,no,0,yes,yes,1,5,may,272,no
55,services,divorced,secondary,yes,1,yes,no,1,5,may,208,no
45,admin.,single,secondary,no,206,yes,no,1,5,may,193,no
47,services,divorced,secondary,no,164,no,no,1,5,may,212,no
42,technician,single,secondary,no,690,yes,no,1,5,may,20,no
59,admin.,married,secondary,no,2343,yes,no,1,5,may,1042,yes
46,self-employed,married,tertiary,no,137,yes,yes,1,5,may,246,no
51,blue-collar,married,primary,no,173,yes,no,2,5,may,529,no
56,admin.,married,secondary,no,45,no,no,1,5,may,1467,yes
41,technician,married,secondary,no,1270,yes,no,1,5,may,1389,yes
46,management,divorced,secondary,no,16,yes,yes,2,5,may,188,no
57,retired,married,secondary,no,486,yes,no,2,5,may,180,no
42,management,single,secondary,no,50,no,no,1,5,may,48,no
30,technician,married,secondary,no,152,yes,yes,2,5,may,213,no
60,admin.,married,secondary,no,290,yes,no,1,5,may,583,no
60,blue-collar,married,unknown,no,54,yes,no,1,5,may,221,no
57,entrepreneur,divorced,secondary,no,-37,no,no,1,5,may,173,no
36,management,married,tertiary,no,101,yes,yes,1,5,may,426,no
55,blue-collar,married,secondary,no,383,no,no,1,5,may,287,no
60,retired,married,tertiary,no,81,yes,no,1,5,may,101,no
39,technician,married,secondary,no,0,yes,no,1,5,may,203,no
46,management,married,tertiary,no,229,yes,no,1,5,may,197,no
44,blue-collar,married,secondary,no,-674,yes,no,1,5,may,257,no
53,blue-collar,married,primary,no,90,no,no,1,5,may,124,no
52,blue-collar,married,primary,no,128,yes,no,1,5,may,229,no
59,blue-collar,married,primary,no,179,yes,no,3,5,may,55,no
